code,icao,name,city_code,country,city,state,county
AAA,NTGA,Anaa,AAA,PF,,,
AAB,YARY,Arrabury Airport,AAB,AU,Tanbar,Queensland,Barcoo Shire
AAC,HEAR,El Arish International Airport,AAC,EG,Arish,Muhafazat Shamal Sina',
AAD,HCAD,Adado Airport,AAD,SO,Adado,,
AAE,DABB,Les Salines Airport,AAE,DZ,El Hadjar,Annaba,
AAF,KAAF,Apalachicola Regional,AAF,US,Apalachicola,Florida,Franklin County
AAG,SSYA,Arapoti,AAG,BR,Jaguariaiva,Parana,Jaguariaiva
AAH,EDKA,Aachen/Merzbruck,AAH,DE,,,
AAI,SWRA,Arraias,AAI,BR,Campos Belos,Goias,Campos Belos
AAJ,SMCA,Cayana Airstrip,AAJ,SR,Kajana,Sipaliwini,Boven Suriname
AAK,NGUK,Aranuka,AAK,KI,,,
AAL,EKYT,Aalborg Airport,AAL,DK,Vadum,North Denmark,Alborg Kommune
AAM,FAMD,Mala Mala,AAM,ZA,,,
AAN,OMAL,Al Ain Airport,AAN,AE,,,
AAO,SVAN,Anaco,AAO,VE,Anaco,Anzoategui,Municipio Anaco
AAP,WALS,Aji Pangeran Tumenggung Pranoto International Airport,AAP,ID,,,
AAQ,URKA,Anapa Airport,AAQ,RU,Anapa,Krasnodarskiy,
AAR,EKAH,Aarhus Airport,AAR,DK,Ebeltoft,Central Jutland,Syddjurs Kommune
AAS,,Apalapsili,AAS,ID,,,
AAT,ZWAT,Altay Airport,AAT,CN,Awiytan,Xinjiang Uygur Zizhiqu,
AAU,NSAU,Asau,AAU,WS,Asau,Vaisigano,
AAV,RPMA,Allah Valley,AAV,PH,Surallah,South Cotabato,
AAW,OPAB,Abbottabad,AAW,PK,Abbottabad,Khyber Pakhtunkhwa,
AAX,SBAX,Araxa Airport,AAX,BR,Araxa,Minas Gerais,Araxa
AAY,OYGD,Al Ghaydah,AAY,YE,Al Ghayzah,Al Mahrah,Al Ghaydah
AAZ,MGQZ,Quetzaltenango,AAZ,GT,Olintepeque,Quetzaltenango,
ABA,UNAA,Abakan Airport,ABA,RU,Podsineye,Khakasiya,
ABB,DNAS,Asaba International Airport,ABB,NG,Asaba,,
ABC,LEAB,Los Llanos,ABC,ES,,,
ABD,OIAA,Abadan Airport,ABD,IR,Abadan,Khuzestan,
ABE,KABE,Lehigh Valley International Airport,ABE,US,Catasauqua,Pennsylvania,Lehigh County
ABF,NGAB,Abaiang,ABF,KI,Buota Village,Gilbert Islands,Tarawa
ABG,YABI,Abingdon,ABG,AU,,,
ABH,YAPH,Alpha,ABH,AU,,,
ABI,KABI,Abilene Regional Airport,ABI,US,,,
ABJ,DIAP,Felix Houphouet Boigny Airport,ABJ,CI,Abidjan,Lagunes,
ABK,HAKD,Kabri Dar,ABK,ET,,,
ABL,PAFM,Ambler Airport,ABL,US,,,
ABM,YNPE,Northern Peninsula Airport,ABM,AU,,,
ABN,SMBN,Albina,ABN,SR,,,
ABO,DIAO,Aboisso,ABO,CI,Aboisso,Sud-Comoe,
ABP,,Atkamba,ABP,PG,,,
ABQ,KABQ,Albuquerque International Sunport,ABQ,US,Albuquerque,New Mexico,Bernalillo County
ABR,KABR,Aberdeen Municipal Airport,ABR,US,Aberdeen,South Dakota,Brown County
ABS,HEBL,Abu Simbel,ABS,EG,,,
ABT,OEBA,Al-Aqiq Airport,ABT,SA,Al Bahah,Mintaqat al Bahah,
ABU,WATA,Haliwen Airport,ABU,ID,Atambua,East Nusa Tenggara,
ABV,DNAA,Nnamdi Azikiwe International Airport,ABV,NG,Madala,Abuja Federal Capital Territory,
ABW,,Abau,ABW,PG,,,
ABX,YMAY,Albury Airport,ABX,AU,East Albury,New South Wales,Albury Municipality
ABY,KABY,Southwest Georgia Regional Airport,ABY,US,,,
ABZ,EGPD,Aberdeen International Airport,ABZ,GB,Dyce,Scotland,Aberdeen City
ACA,MMAA,Acapulco International Airport,ACA,MX,10 de Abril,Guerrero,Acapulco de Juarez
ACB,KACB,Antrim County,ACB,US,Bellaire,Michigan,Antrim County
ACC,DGAA,Kotoka International Airport,ACC,GH,Accra,Greater Accra,
ACD,SKAD,Acandi,ACD,CO,,,
ACE,GCRR,Lanzarote Airport,ACE,ES,Tias,Canary Islands,Provincia de Las Palmas
ACF,ZWAL,Alaer Talimu Airport,ACF,CN,Aral,Xinjian Autonomous Region,
ACH,LSZR,Altenrhein Airport,ACH,CH,Rheineck,Saint Gallen,Wahlkreis Rheintal
ACI,EGJA,Alderney Airport,ACI,GB,Beaumont-Hague,Lower Normandy,Departement de la Manche
ACJ,VCCA,Anuradhapura,ACJ,LK,Anuradhapura,North Central,
ACK,KACK,Nantucket Memorial Airport,ACK,US,Nantucket,Massachusetts,Nantucket County
ACL,,Aguaclara,ACL,CO,Sabanalarga,Casanare,
ACM,,Arica,ACM,CO,Pebas,Loreto,Mariscal Ramon Castilla
ACN,MMCC,International,ACN,MX,,,
ACO,MRAF,Cobano Airport,ACO,CR,Cobano,Puntarenas Province,
ACP,OITM,Sahand,ACP,IR,Bonab,East Azerbaijan,
ACR,SKAC,Araracuara,ACR,CO,,,
ACS,UNKS,Achinsk,ACS,RU,Achinsk,Krasnoyarskiy,
ACT,KACT,Waco Municipal Airport,ACT,US,Gholson,Texas,McLennan County
ACU,,Achutupo,ACU,PA,Portobelo,Colon,Distrito Portobelo
ACV,KACV,Arcata-Eureka Airport,ACV,US,McKinleyville,California,Humboldt County
ACX,ZUYI,Xingyi Airport,ACX,CN,Xinzhou,Guangxi Zhuangzu Zizhiqu,
ACY,KACY,Atlantic City International Airport,AIY,US,Pomona,New Jersey,Atlantic County
ACZ,OIZB,Zabol Airport,ACZ,IR,Zabol,Sistan and Baluchestan,
ADA,LTAF,Adana Airport,ADA,TR,Seyhan,Adana,
ADB,LTBJ,Izmir Adnan Menderes Airport,IZM,TR,,,
ADC,AYAN,Andakombe,ADC,PG,,,
ADD,HAAB,Addis Ababa Bole International Airport,ADD,ET,Addis Ababa,Adis Abeba,
ADE,OYAA,International,ADE,YE,Khawr Maksar,Aden,Khur Maksar
ADF,LTCP,Adiyaman Airport,ADF,TR,Adiyaman,Adiyaman,
ADG,KADG,Lenawee County,ADG,US,Adrian,Michigan,Lenawee County
ADH,UEEA,Aldan,ADH,RU,Aldan,Sakha,
ADI,FYAR,Arandis,ADI,NA,Arandis,Erongo,
ADJ,OJAM,Marka International Airport,AMM,JO,Amman,Amman,
ADK,PADK,Adak Island Ns,ADK,US,,,
ADL,YPAD,Adelaide Airport,ADL,AU,Plympton,South Australia,City of West Torrens
ADM,KADM,Ardmore Municipal Airport,ADM,US,Dickson,Oklahoma,Carter County
ADN,SKAN,Andes,ADN,CO,Los Andes,Antioquia,
ADO,YAMK,Andamooka,ADO,AU,,,
ADP,VCCG,Ampara,ADP,LK,,,
ADQ,PADQ,Kodiak Benny Benson State Airport,ADQ,US,,,
ADR,KPHH,Andrews,ADR,US,Andrews,South Carolina,Williamsburg County
ADS,KADS,Addison Airport,DFW,US,Haltom City,Texas,Tarrant County
ADT,KADH,Ada Municipal,ADT,US,Ada,Oklahoma,Pontotoc County
ADU,OITL,Ardabil Airport,ADU,IR,Namin,Ardabil,
ADV,,El Daein,ADV,SD,El Daein,Eastern Darfur,
ADW,KADW,Andrews AFB,ADW,US,Andrews AFB,Maryland,Prince George's County
ADX,EGQL,Leuchars,ADX,GB,Leuchars,Scotland,Fife
ADY,FAAL,Alldays,ADY,ZA,,,
ADZ,SKSP,Gustavo Rojas Pinilla Airport,ADZ,CO,San Andres,"Archipielago de San Andres, Providencia y Santa Catalina",
AEA,NGTB,Abemama Atoll,AEA,KI,,,
AEB,ZGBS,Youjiang,AEB,CN,Tianzhou,Guangxi Zhuangzu Zizhiqu,
AED,,Aleneva,AED,US,,,
AEE,,Adareil Airport,AEE,SS,,,
AEG,WIME,Aek Godang,AEG,ID,Padangsidempuan,North Sumatra,
AEH,FTTC,Abéché,AEH,TD,Abeche,Ouaddai,
AEI,,Algeciras,AEI,ES,Algeciras,Andalusia,Provincia de Cadiz
AEK,AYAX,Aseki,AEK,PG,,,
AEL,KAEL,Albert Lea,AEL,US,Albert Lea,Minnesota,Freeborn County
AEM,UHTG,Amgu,AEM,RU,,,
AEO,GQNA,Aioun El Atrouss,AEO,MR,,,
AEP,SABE,Jorge Newbery Airport,BUE,AR,Colegiales,Buenos Aires F.D.,
AEQ,,Ar Horqin Airport,AEQ,CN,Tianshan,Inner Mongolia,
AER,URSS,Sochi International Airport,AER,RU,Orel-Izumrud,Krasnodarskiy,
AES,ENAL,Vigra Alesund Airport,AES,NO,Valderoy,More og Romsdal,Giske
AET,PFAL,Allakaket,AET,US,,,
AEU,OIBA,Abu Musa,AEU,IR,,,
AEX,KAEX,Alexandria International Airport,AEX,US,Alexandria,Louisiana,Rapides Parish
AEY,BIAR,Akureyri Airport,AEY,IS,Akureyri,Northeast,
AFA,SAMR,San Rafael Airport,AFA,AR,San Rafael,Mendoza,
AFD,FAPA,Port Alfred,AFD,ZA,,,
AFF,KAFF,USAF Academy Airstrip,COS,US,Cimarron Hills,Colorado,El Paso County
AFI,SKAM,Amalfi,AFI,CO,Amalfi,Antioquia,
AFK,,Ampara Kondavattavan Tank Airport,ADP,LK,Ampara,,
AFL,SBAT,Alta Floresta Airport,AFL,BR,,,
AFN,KAFN,Municipal,AFN,US,Jaffrey,New Hampshire,Cheshire County
AFO,KAFO,Municipal,AFO,US,Afton,Wyoming,Lincoln County
AFR,AYAF,Afore,AFR,PG,,,
AFS,UTSN,Zarafshan,AFS,UZ,Tomdibuloq,Navoiy,
AFT,AGAF,Afutara Aerodrome,AFT,SB,,,
AFW,KAFW,Fort Worth Alliance Airport,DFW,US,Haslet,Texas,Tarrant County
AFY,LTAH,Afyon,AFY,TR,Afyonkarahisar,Afyonkarahisar,
AFZ,OIMS,Sabzevar,AFZ,IR,Sabzevar,Razavi Khorasan,
AGA,GMAD,Agadir Al Massira Airport,AGA,MA,Inezgane,Souss-Massa-Draa,Inezgane-Ait Mellou
AGB,EDMA,Augsburg Airport,MUC,DE,Rehling,Bavaria,Swabia
AGC,KAGC,Allegheny County Airport,PIT,US,Pleasant Hills,Pennsylvania,Allegheny County
AGD,WASG,Anggi,AGD,ID,Warmare,West Papua,
AGE,EDWG,Flugplatz,AGE,DE,Wangerooge,Lower Saxony,
AGF,LFBA,La Garenne Airport,AGF,FR,Le Passage,Aquitaine,Departement du Lot-et-Garonne
AGG,,Angoram,AGG,PG,,,
AGH,ESTA,Angelholm Helsingborg Airport,AGH,SE,,,
AGI,SMWA,Wageningen,AGI,SR,Wageningen,Nickerie,
AGJ,RORA,Aguni,AGJ,JP,,,
AGK,,Kagua,AGK,PG,,,
AGL,AYWG,Wanigela,AGL,PG,,,
AGM,,Tasiilaq,AGM,GL,,,
