countyCode,country,cityName,HotelName,star_rating,Address,Attractions,Description,FaxNumber,HotelFacilities,Map,PhoneNumber,PinCode,HotelWebsiteUrl
BH,Bahrain,Manama,Euro Plaza Apartments,1.0,Building 1712 Road 2427 Avenue 22 Avenue 22Building 1712Al Fateh ,,"Located in Juffair, Euro Plaza Apartments is a perfect starting point from which to explore Manama. The property features a wide range of facilities to make your stay a pleasant experience. Free Wi-Fi in all rooms, 24-hour front desk, express check-in/check-out, Wi-Fi in public areas, car park are there for guest''s enjoyment. All rooms are designed and decorated to make guests feel right at home, and some rooms come with internet access  wireless (complimentary), air conditioning, desk, telephone, television. Recuperate from a full day of sightseeing in the comfort of your room or take advantage of the hotel''s recreational facilities, including fitness center, outdoor pool. For reliable service and professional staff, Euro Plaza Apartments caters to your needs.",,Elevator / Lift Car Parking Wireless Internet Access Shuttle service Family rooms designated smoking area,26.21195|50.61211,,,
BH,Bahrain,Manama,The One Lifestyle Hotel,1.0,Building 99 Avenue 22 Block 324 1299 Block 324Al JuffairManama 1299 ,,"Stop at The One LifeStyle Hotel to discover the wonders of Manama. The hotel offers a wide range of amenities and perks to ensure you have a great time. To be found at the hotel are free Wi-Fi in all rooms, Wi-Fi in public areas, airport transfer, car park, elevator. All rooms are designed and decorated to make guests feel right at home, and some rooms come with satellite/cable TV, washing machine, air conditioning, mini bar, hair dryer. Take a break from a long day and make use of fitness center, outdoor pool, hot tub, sauna. Convenience and comfort makes The One LifeStyle Hotel the perfect choice for your stay in Manama.",,Soundproof rooms Fitness Center Air Conditioned Dry cleaning / laundry service Family rooms Safety Deposit Box Sauna WiFi everywhere Wireless Internet Access Car Parking Hot tub Elevator / Lift,26.22123|50.60665,,1299,
BH,Bahrain,Bahrain,Bahrain Airport Hotel (airside hotel for transiting and departing passengers only),2.0,"Bahrain International Airport Khalifa Al Khabeer Highway, 580 Muharraq, Bahrain Opposite Gate 15, at the duty free area  ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Muharraq Island - 0.1 km / 0.1 mi <br /> Al Muharraq Stadium - 2.1 km / 1.3 mi <br /> Al Oraifi Museum - 2.7 km / 1.7 mi <br /> Arad Fort - 2.8 km / 1.7 mi <br /> Beit Seyadi - 2.9 km / 1.8 mi <br /> House of Aleh Sultan Sameen Bak - 2.9 km / 1.8 mi <br /> Sheikh Isa bin Ali House - 3.1 km / 1.9 mi <br /> Al-Korar House - 3.1 km / 2 mi <br /> Sheikh Ebrahim Center - 3.3 km / 2 mi <br /> Abdullah Al Zayed House for Bahraini Press Heritage - 3.3 km / 2.1 mi <br /> Maison Jamsheer Cultural Center - 3.4 km / 2.1 mi <br /> Vertical Garden - 3.4 km / 2.1 mi <br /> Memory of the Place Bin Matar House - 3.6 km / 2.2 mi <br /> Muharraq Souq - 3.8 km / 2.4 mi <br /> Suq Al-Qaysariya - 3.9 km / 2.4 mi <br /> </p><p>The preferred airport for Bahrain Airport Hotel Airside Hotel for Transiting and Departing Passengers only is Manama (BAH-Bahrain Intl.) - 0.1 km / 0.1 mi </p>,"<p>HeadLine : Near Muharraq Island</p><p>Location : With a stay at Bahrain Airport Hotel Airside Hotel for Transiting and Departing Passengers only in Muharraq, you ll be near the airport, just steps from Muharraq Island and a 3-minute drive from Al Muharraq Stadium.  This spa hotel is 4.8 mi (7.7 km) from Amwaj Islands and 1.5 mi (2.5 km) from Arad Fort.</p><p>Rooms : Make yourself at home in one of the 83 air-conditioned guestrooms. Complimentary wireless Internet access is available to keep you connected. Private bathrooms with showers feature complimentary toiletries and hair dryers.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Guests will receive an email 24 hours before arrival with check-in instructions. Front desk staff will greet guests on arrival. At check-in, guests must provide either a negative PCR COVID-19 test result or a record of full COVID-19 vaccination. The negative COVID-19 test result requirement applies to all guests aged 6 and up, and test must have been administered no more than 72 hours prior to check-in. COVID-19 vaccination record requirement applies to all guests aged 6 and up; guests must have received complete vaccination at least 14 days prior to check-in.</p>",,Change of towels (on request) Safe-deposit box at front desk Laundry facilities Full-service spa Fitness facilities Hair salon Designer stores on site Wheelchair accessible  no Business center Change of bed sheets (on request) 24-hour front desk Free WiFi Spa treatment room(s) Designated smoking areas Spa services on site,26.267717|50.629739,1-5555555,,
BH,Bahrain,Manama,Al Commodore,2.0,PO BOX 11184  ,,"Located in Al Hoora, Al Commodore Hotel is a perfect starting point from which to explore Manama. Offering a variety of facilities and services, the hotel provides all you need for a good night's sleep. Service-minded staff will welcome and guide you at the Al Commodore Hotel. Designed for comfort, selected guestrooms offer television LCD/plasma screen, internet access  wireless, non smoking rooms, air conditioning, desk to ensure a restful night. The hotel's peaceful atmosphere extends to its recreational facilities which include games room. For reliable service and professional staff, Al Commodore Hotel caters to your needs.",,Restaurant Nightclub Laundry service Bar safety deposit boxes coffee shop family room babysitting car park Room service elevator Wi-Fi in public areas Facilities for disabled guests,26.226|50.5902,,,
BH,Bahrain,Bahrain,Ista Suites Seef,3.0,"Building 1091, Road 3622, Block 436, Seef, Manama, Capital Governorate, 20223 ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Seef Mall - 1 km / 0.6 mi <br /> Qal at al-Bahrain Site and Museum - 1.2 km / 0.7 mi <br /> Bahrain Mall - 1.5 km / 1 mi <br /> Bahrain International Exhibition & Convention Centre - 2.1 km / 1.3 mi <br /> City Center Mall - 2.4 km / 1.5 mi <br /> Dana Mall - 2.8 km / 1.7 mi <br /> Khamis Mosque - 4.4 km / 2.7 mi <br /> Bahrain Financial Harbour - 5 km / 3.1 mi <br /> Bab Al Bahrain - 5.7 km / 3.6 mi <br /> Museum of Pearl Diving - 6 km / 3.7 mi <br /> Bahrain World Trade Center - 6.1 km / 3.8 mi <br /> Manama Souq - 6.1 km / 3.8 mi <br /> Moda Mall - 6.1 km / 3.8 mi <br /> Yateem Centre - 6.2 km / 3.8 mi <br /> Gold Souq - 6.3 km / 3.9 mi <br /> </p><p>The nearest major airport is Manama (BAH-Bahrain Intl.) - 13.3 km / 8.3 mi</p>,"<p>HeadLine : In Manama (Seef)</p><p>Location : A stay at Ista Suites Seef places you in the heart of Manama, within a 15-minute walk of Seef Mall and Qal at al-Bahrain Site and Museum.  This spa aparthotel is 12.5 mi (20.1 km) from Amwaj Islands and 1.2 mi (2 km) from Bahrain Mall.</p><p>Rooms : Make yourself at home in one of the 65 air-conditioned rooms featuring kitchens with refrigerators and microwaves. Flat-screen televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include desks and separate sitting areas, and housekeeping is provided daily.</p><p>Dining : You can enjoy a meal at the restaurant serving the guests of Ista Suites Seef, or stop in at the snack bar/deli. Buffet breakfasts are available daily from 7:00 AM to 11:00 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>Guests must contact this property in advance to reserve cribs/infant beds and rollaway/extra beds</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a first aid kit, and window guards</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",,Dry cleaning/laundry service Lockers available 24-hour front desk Breakfast available (surcharge) Barbecue grill(s) Number of outdoor pools - 1 Turkish bath/Hammam Garden Smoke-free property In-room accessibility (in select rooms) Snack bar/deli Full-service spa Steam room elevator Free self parking Beach towels Pool sun loungers,26.237389|50.530461,973-1758 1100,20223,
BH,Bahrain,Bahrain,Nooh Tower,3.0,"Avenue 16, Muharraq Muharraq Governorate ",Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Prince Khalifa Bin Salman Park - 1.7 km / 1.1 mi <br /> Juffair Mall - 4.9 km / 3.1 mi <br /> Al Muharraq Stadium - 6.7 km / 4.1 mi <br /> Muharraq Island - 6.7 km / 4.2 mi <br /> Amwaj Islands - 6.7 km / 4.2 mi <br /> Arad Fort - 7.3 km / 4.6 mi <br /> Al Fateh Grand Mosque - 7.5 km / 4.7 mi <br /> Oasis Center Juffair - 7.7 km / 4.8 mi <br /> Al-Qudaibiya Palace - 8.1 km / 5 mi <br /> Bahrain National Museum - 8.7 km / 5.4 mi <br /> Beit Al Qur an - 8.8 km / 5.4 mi <br /> Maison Jamsheer Cultural Center - 8.9 km / 5.6 mi <br /> Bahrain National Theater - 9.1 km / 5.6 mi <br /> Al Oraifi Museum - 9.1 km / 5.7 mi <br /> La Fontaine Centre of Contemporary Art - 9.1 km / 5.7 mi <br /> </p><p>The nearest major airport is Manama (BAH-Bahrain Intl.) - 7.2 km / 4.5 mi</p>,"<p>HeadLine : Near Prince Khalifa Bin Salman Park</p><p>Location : Located in Muharraq, Nooh Tower is within a 5-minute drive of Prince Khalifa Bin Salman Park and Juffair Mall.  This aparthotel is 4.2 mi (6.7 km) from Amwaj Islands and 4.1 mi (6.7 km) from Al Muharraq Stadium.</p><p>Rooms : Make yourself at home in one of the 100 air-conditioned rooms featuring kitchens with refrigerators and ovens. 5-inch flat-screen televisions with satellite programming provide entertainment, while complimentary wireless Internet access keeps you connected. Conveniences include microwaves and coffee/tea makers, and housekeeping is provided daily.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards and cash</li><li>Safety features at this property include a fire extinguisher</li>  </ul></p><p>Special Instructions : This property doesn t offer after-hours check-in. Front desk staff will greet guests on arrival.</p>",,Wheelchair accessible  no 24-hour front desk Secured bicycle storage Smoke-free property Dry cleaning/laundry service Comprehensive recycling policy Bulk dispenser for toiletries No single-use plastic straws No single-use plastic stirrers Reusable cups only Reusable tableware only Free WiFi No single-use plastic water bottles Bicycle parking available Well-lit path to entrance Number of indoor pools - 1 In-room accessibility (in select rooms) Stair-free path to entrance Energy-saving switches Energy-saving features in guest rooms Laundry facilities Sauna Steam room elevator Free self parking Fitness facilities Double-glazing on all windows,26.225977|50.647383,973-3376 4878,,
BH,Bahrain,Hawar,Best Western Hawar Resort Hotel,4.0,Tulip Inn Hawar Beach Hawar Island Manama Al Rifa` Wa Al Mintaqah Al JanubiyahHawar Island ,,"The BEST WESTERN Hawar Resort Hotel is the perfect getaway from mainland Bahrain. The rooms are spacious, with unobstructed views of the sea from the balcony. Guests can enjoy an enticing selection of Arabic and International cuisines, as well as a wide choice of beverages. Fun water activities such as jet skiing and paddle boating will keep the family amused on the island during the day, or simply sit back and relax as the sun goes down. The resort combines a charming natural setting with the comfort, efficiency and international standards of service that Best Western is famous for. The entire package also includes boat transfers.",+973 17849100,Meeting rooms Souvenirs / Gift Shop Restaurant coffee shop Safety Deposit Box Health club Blackout drapes/curtains Non-Smoking Hotel Room service Family rooms Bar / Lounge Concierge Desk Breakfast available (surcharge) 24 Hour Room Service Billiards / Pool Table Waterslide Dry cleaning / laundry service Self Laundry Wireless Internet Access Bar designated smoking area Turndown service Housekeeping Elevator / Lift Business centre,25.65083|50.7425,+973 973-17849111,18617,http://www.tulipinnhawarbeach.com
BH,Bahrain,Manama,Riviera Palace,4.0,Sheikh Salman Ave Manama ,,"Riviera Palace Deluxe Suites & Spa is a popular choice amongst travelers in Manama, whether exploring or just passing through. Featuring a complete list of amenities, guests will find their stay at the property a comfortable one. Free Wi-Fi in all rooms, express check-in/check-out, Wi-Fi in public areas, valet parking, car park are on the list of things guests can enjoy. Comfortable guestrooms ensure a good night's sleep with some rooms featuring facilities such as television LCD/plasma screen, internet access  wireless, internet access  wireless (complimentary), whirlpool bathtub, non smoking rooms. Entertain the hotel's recreational facilities, including hot tub, fitness center, sauna, outdoor pool, spa. Riviera Palace Deluxe Suites & Spa is an excellent choice from which to explore Manama or to simply relax and rejuvenate.",+97317406300,24-hour room service airport transfer car park coffee shop elevator express check-in/check-out family room free Wi-Fi in all rooms Laundry service Lockers Newspapers Restaurant Room service safety deposit boxes Valet parking Vending machine Wi-Fi in public areas,26.20095|50.53392,+97317406200,,http://www.riviera-palace.com/
BH,Bahrain,Al Areen,Al Areen Palace & Spa by Accor,5.0,Building 2046 Road 6232 Block 1062 Manama ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Lost Paradise of Dilmun Water Park - 0.1 km / 0.1 mi <br /> Al Areen Wildlife Sanctuary - 6.1 km / 3.8 mi <br /> Bahrain International Circuit - 7.6 km / 4.7 mi <br /> First Oil Well - 7.9 km / 4.9 mi <br /> Oil Well Museum - 8.1 km / 5 mi <br /> Al Jazaira Beach - 8.3 km / 5.2 mi <br /> Tree of Life - 13.2 km / 8.2 mi <br /> Royal Golf Club - 18.3 km / 11.4 mi <br /> Awali Golf Club - 18.8 km / 11.7 mi <br /> Riffa Fort - 20.7 km / 12.9 mi <br /> Aali Burial Mounds - 21 km / 13 mi <br /> Dilmun Burial Mounds - 21.1 km / 13.1 mi <br /> Bahrain National Stadium - 22.5 km / 14 mi <br /> Pottery Workshop - 23 km / 14.3 mi <br /> University of Bahrain - 24.1 km / 15 mi <br /> </p><p>The preferred airport for Al Areen Palace And Spa By Accor is Manama (BAH-Bahrain Intl.) - 42.9 km / 26.7 mi </p>,"<p>HeadLine : Near Lost Paradise of Dilmun Water Park</p><p>Location : Located in Zallaq, Al Areen Palace And Spa By Accor is a 1-minute drive from Lost Paradise of Dilmun Water Park and 10 minutes from Bahrain International Circuit.  This 5-star hotel is 3.8 mi (6.1 km) from Al Areen Wildlife Sanctuary and 4.9 mi (7.9 km) from First Oil Well.</p><p>Rooms : Treat yourself to a stay in one of the 78 individually decorated guestrooms, featuring private pools and LCD televisions. Rooms have private lanais. Complimentary wireless Internet access keeps you connected, and DVD players are provided for your entertainment. Conveniences include phones, as well as safes and desks.</p><p>Dining : Enjoy a meal at the restaurant, or stay in and take advantage of the hotel s 24-hour room service. Wrap up your day with a drink at the poolside bar. Cooked-to-order breakfasts are available daily from 7:30 AM to 11 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>This property accepts credit cards, debit cards, and cash</li><li>Safety features at this property include a fire extinguisher, a smoke detector, a security system, and a first aid kit</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",973-1-784 50 01,Dry cleaning/laundry service Water park access (surcharge) Free WiFi Number of spa tubs - 1 Number of poolside bars - 1 Number of outdoor pools - 1 Number of indoor pools - 1 In-room accessibility (in select rooms) Tours/ticket assistance Airport transportation - pickup (surcharge) Accessible airport shuttle Outdoor tennis courts - 1 Multilingual staff Conference center Breakfast available (surcharge) Barbecue grill(s) Turkish bath/Hammam Laundry facilities Fitness facilities Bicycle rentals on site Skydiving Nearby Health club Spa treatment room(s) Garden Picnic area Free newspapers in lobby Full-service spa Wedding services Supervised childcare/activities (surcharge) Luggage storage Express check-out Porter/bellhop Business center 24-hour front desk Racquetball/squash on site Spa services on site Safe-deposit box at front desk Smoke-free property Sauna Steam room Free self parking Conference space Free valet parking Hair salon Tennis on site Terrace Pool sun loungers Concierge services,26.014723|50.508873,973-1-784 50 00,75055,http://www.alareenpalace.com
BH,Bahrain,Bahrain,Jumeirah Gulf of Bahrain Resort and Spa,5.0,Sahel Al Zallaq Zallaq ,Distances are displayed to the nearest 0.1 mile and kilometer. <br /> <p>Al Jazaira Beach - 10.7 km / 6.7 mi <br /> Lost Paradise of Dilmun Water Park - 18.9 km / 11.8 mi <br /> Al Areen Wildlife Sanctuary - 19 km / 11.8 mi <br /> Bahrain International Circuit - 19.9 km / 12.4 mi <br /> Royal Golf Club - 30.5 km / 18.9 mi <br /> Awali Golf Club - 31.2 km / 19.4 mi <br /> Oil Well Museum - 32.1 km / 19.9 mi <br /> First Oil Well - 32.3 km / 20.1 mi <br /> Riffa Fort - 33.1 km / 20.6 mi <br /> Aali Burial Mounds - 33.3 km / 20.7 mi <br /> Dilmun Burial Mounds - 33.5 km / 20.8 mi <br /> Bahrain National Stadium - 34.8 km / 21.6 mi <br /> Pottery Workshop - 35.3 km / 21.9 mi <br /> University of Bahrain - 36.5 km / 22.7 mi <br /> Tree of Life - 37.8 km / 23.5 mi <br /> </p><p>The nearest major airport is Manama (BAH-Bahrain Intl.) - 52.8 km / 32.8 mi</p>,"<p>HeadLine : By the ocean</p><p>Location : When you stay at Jumeirah Gulf of Bahrain Resort & Spa in Zallaq, you ll be on the waterfront and 12 minutes by car from Al Jazaira Beach.  This 5-star property is 11.8 mi (18.9 km) from Lost Paradise of Dilmun Water Park and 11.8 mi (19 km) from Al Areen Wildlife Sanctuary.</p><p>Rooms : Make yourself at home in one of the 207 air-conditioned rooms featuring minibars and LED televisions. Wireless Internet access (surcharge) keeps you connected, and satellite programming is available for your entertainment. Bathrooms feature bathtubs or showers with rainfall showerheads and bidets. Conveniences include safes and coffee/tea makers, and housekeeping is provided daily.</p><p>Dining : Grab a bite to eat at Obab Al Bahar, one of the property s many dining establishments, which include 5 restaurants and a coffee shop/cafe. Relax with a refreshing drink from the poolside bar or one of the 3 bars/lounges. Buffet breakfasts are available daily from 6:30 AM to 10:30 AM for a fee.</p><p>CheckIn Instructions : <ul>  <li>Extra-person charges may apply and vary depending on property policy</li><li>Government-issued photo identification and a credit card, debit card, or cash deposit may be required at check-in for incidental charges</li><li>Special requests are subject to availability upon check-in and may incur additional charges; special requests cannot be guaranteed</li><li>The name on the credit card used at check-in to pay for incidentals must be the primary name on the guestroom reservation</li><li>This property accepts credit cards, debit cards, and cash</li><li>This property reserves the right to pre-authorize the guest s credit card prior to arrival.</li>  </ul></p><p>Special Instructions : Front desk staff will greet guests on arrival.</p>",97370000000,Wheelchair-accessible public washroom Arcade/game room Spa treatment room(s) Garden Full-service spa Wedding services Beach towels Walkway to water Private picnics Couples/private dining Luggage storage Porter/bellhop Business center 24-hour front desk Lifeguard on site Playground on site Spa services on site Safe-deposit box at front desk Designated smoking areas (fines apply) Children's pool Sauna Steam room Free self parking Waterslide Free valet parking Lazy river Free pool cabanas Hair salon Beach sun loungers ATM/banking Gift shops or newsstand Dry cleaning/laundry service Proposal/romance packages available Babysitting or childcare (surcharge) Outdoor furniture Pool umbrellas Outdoor entertainment area Free WiFi Number of bars/lounges - 3 Designated smoking areas Number of poolside bars - 1 Number of outdoor pools - 4 Number of indoor pools - 1 Wheelchair accessible parking Tours/ticket assistance Rooftop terrace Wheelchair-accessible lounge Wheelchair-accessible on-site restaurant Firepit Breakfast available (surcharge) Wheelchair-accessible meeting spaces/business center Turkish bath/Hammam Number of coffee shops/cafes - 1 Laundry facilities elevator Children's club (free) Fitness facilities Supervised childcare/activities (free) Infant/toddler toys Wheelchair accessible (may have limitations) Wheelchair-accessible concierge desk Beach umbrellas Fully fenced Wheelchair-accessible path to elevator Wheelchair-accessible spa Wheelchair-accessible registration desk Wheelchair-accessible fitness center Pool sun loungers Concierge services,25.93002|50.4919,97343665000,,
